,eq,support,num_points
29,3/5*x_1**2/(4*pi*x_2*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
30,x_1*x_2**2/2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
31,x_1/x_2*1/(1+x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
32,1+x_1*x_2/(1-(x_1*x_2/3)),"{'x_1': {'max': 1.0, 'min': 0.0}, 'x_2': {'max': 1.0, 'min': 0.0}}",500
33,x_1/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500
34,x_1*x_2/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500
35,-x_1*x_2*cos(x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
36,-x_1*x_2*cos(x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
37,sqrt(x_1**2/x_2**2-pi**2/x_3**2),"{'x_1': {'max': 6.0, 'min': 4.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 4.0, 'min': 2.0}}",500
38,x_1*x_2*x_3**2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
39,x_1*x_2**2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
40,x_1*x_2/(2*pi*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
41,x_1*x_2*x_3/2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
42,x_1*x_2/(4*pi*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
43,x_1*(1+x_3)*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
44,x_1/(2*(1+x_2)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
45,2*x_1*x_2/(x_3/(2*pi)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
46,sin(x_1*x_2/(x_3/(2*pi)))**2,"{'x_1': {'max': 2.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 4.0, 'min': 1.0}}",500
47,x_1*(x_2/(2*pi)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
48,2*x_1*(1-cos(x_2*x_3)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
49,(x_1/(2*pi))**2/(2*x_2*x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
50,2*pi*x_1/(x_2*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
51,x_1*(1+x_2*cos(x_3)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
